Rank	School	AIS	Visakha	RC-BC	AC-VV	RC	Metho	RI	APIIT		Total
Category											
1	Royal College 	8	6	2	2	6	8	6	4		42
2	Trinity College Kandy	2	1	8	6	8	1	2	1		29
3	Ananda College 	6	8		2	2	2	2	2		24
4	Visakha Vidyalaya 		4	2	2	6		2	6		22
5	D.S. Senanayake College	4	2			1	1	4	8		20
6	Ladies' College, Colombo 7		4		8	2	2	2	1		19
7	Bishops College	2	2	2	4	4	1		2		17
8	Hillwood College Kandy 		4			4	6				14
8	Asian International School 	2		1			2	8	1		14
10	St. Bridget's Convent 		1	6	1	0.5	1		2		11.5
11	Elizabeth Moir School	4			2	1			4		11
12	S.Thomas' College, Mount Lavinia 			4	2	1			2		9
13	Colombo International School 	2	1	2	1				1		7
14	Gateway College Dehiwala						4		1		5
15	Logos College			4							4
15	Methodist College, Colombo 3						4				4
17	Isipathana College - Colombo 5 				1	0.5	1				2.5
18	Girls' High School Kandy			2							2
18	The British School in Colombo		1				1				2
18	St. Anthony's College Kandy 					1			1		2
18	Stafford International School						2				2
22	St. Joseph’s College, Colombo 10								1		1
22	Dharmaraja College 					1					1
22	Gateway College Colombo 								1		1
25	ecole internationale, Digana 										0
25	Daybridge International School 										0
25	Mahamaya Girls' College Kandy 										0
25	Sujatha Vidylaya										0
25	Lyceum International School Gampaha										0
25	Gateway College Negombo 										0
25	Lyceum International School Wattala 										0
25											0
25											0
25											0
25											0
25											0
25											0
25											0
